,Subject,Counts,Rewarded,Treatment,CallType,k
285,GraWhi4040F,"(6, 12)",True,NCM,DC,3
286,BlaGre1349M,"(4, 10)",False,NCM,DC,3
287,BlaGre1349M,"(14, 20)",True,NCM,DC,3
288,XXXHpi0038M,"(73, 79)",False,NCM,DC,3
289,XXXHpi0038M,"(27, 33)",True,NCM,DC,3
290,XXXOra0037F,"(18, 24)",False,NCM,DC,3
291,XXXOra0037F,"(12, 18)",True,NCM,DC,3
292,XXXBlu0031M,"(0, 6)",False,NCM,DC,3
293,XXXBlu0031M,"(4, 10)",True,NCM,DC,3
294,HpiGre0651M,"(8, 14)",False,NCM,DC,3
295,HpiGre0651M,"(4, 10)",True,NCM,DC,3
296,RedHpi0710F,"(5, 11)",False,NCM,DC,3
297,RedHpi0710F,"(2, 8)",True,NCM,DC,3
298,WhiBlu5805F,"(6, 12)",False,NCM,DC,3
299,WhiBlu5805F,"(12, 18)",True,NCM,DC,3
300,GreBlu5039F,"(6, 12)",False,NCM,DC,4
301,GreBlu5039F,"(7, 13)",True,NCM,DC,4
302,GreBla3404M,"(8, 14)",False,NCM,DC,4
303,GreBla3404M,"(19, 25)",True,NCM,DC,4
304,GraWhi4040F,"(15, 21)",False,NCM,DC,4
305,GraWhi4040F,"(15, 21)",True,NCM,DC,4
306,BlaGre1349M,"(9, 15)",False,NCM,DC,4
307,BlaGre1349M,"(7, 13)",True,NCM,DC,4
308,XXXHpi0038M,"(131, 137)",False,NCM,DC,4
309,XXXHpi0038M,"(20, 25)",True,NCM,DC,4
310,XXXOra0037F,"(36, 42)",False,NCM,DC,4
311,XXXOra0037F,"(4, 10)",True,NCM,DC,4
312,XXXBlu0031M,"(4, 10)",False,NCM,DC,4
313,XXXBlu0031M,"(2, 8)",True,NCM,DC,4
314,HpiGre0651M,"(11, 17)",False,NCM,DC,4
315,HpiGre0651M,"(0, 6)",True,NCM,DC,4
316,RedHpi0710F,"(2, 8)",False,NCM,DC,4
317,RedHpi0710F,"(2, 8)",True,NCM,DC,4
318,WhiBlu5805F,"(4, 10)",False,NCM,DC,4
319,WhiBlu5805F,"(1, 7)",True,NCM,DC,4
320,GreBlu5039F,"(8, 14)",False,NCM,DC,5
321,GreBlu5039F,"(0, 6)",True,NCM,DC,5
322,GreBla3404M,"(7, 13)",False,NCM,DC,5
323,GreBla3404M,"(1, 7)",True,NCM,DC,5
324,GraWhi4040F,"(18, 24)",False,NCM,DC,5
325,GraWhi4040F,"(13, 19)",True,NCM,DC,5
326,BlaGre1349M,"(5, 11)",False,NCM,DC,5
327,BlaGre1349M,"(4, 10)",True,NCM,DC,5
328,XXXHpi0038M,"(50, 56)",False,NCM,DC,5
329,XXXHpi0038M,"(11, 16)",True,NCM,DC,5
330,XXXOra0037F,"(17, 23)",False,NCM,DC,5
331,XXXOra0037F,"(1, 7)",True,NCM,DC,5
332,XXXBlu0031M,"(5, 11)",False,NCM,DC,5
333,XXXBlu0031M,"(6, 12)",True,NCM,DC,5
334,HpiGre0651M,"(2, 8)",False,NCM,DC,5
335,HpiGre0651M,"(6, 12)",True,NCM,DC,5
336,RedHpi0710F,"(5, 11)",False,NCM,DC,5
337,RedHpi0710F,"(1, 7)",True,NCM,DC,5
338,WhiBlu5805F,"(2, 8)",False,NCM,DC,5
339,WhiBlu5805F,"(6, 12)",True,NCM,DC,5
340,GreBlu5039F,"(5, 11)",False,NCM,DC,6
341,GreBlu5039F,"(3, 9)",True,NCM,DC,6
342,GreBla3404M,"(5, 11)",False,NCM,DC,6
343,GreBla3404M,"(8, 14)",True,NCM,DC,6
344,GraWhi4040F,"(11, 17)",False,NCM,DC,6
345,GraWhi4040F,"(6, 12)",True,NCM,DC,6
346,BlaGre1349M,"(9, 15)",False,NCM,DC,6
347,BlaGre1349M,"(2, 8)",True,NCM,DC,6
348,XXXHpi0038M,"(54, 60)",False,NCM,DC,6
349,XXXHpi0038M,"(15, 20)",True,NCM,DC,6
350,XXXOra0037F,"(7, 13)",False,NCM,DC,6
351,XXXOra0037F,"(4, 10)",True,NCM,DC,6
352,XXXBlu0031M,"(5, 11)",False,NCM,DC,6
353,XXXBlu0031M,"(3, 9)",True,NCM,DC,6
354,HpiGre0651M,"(5, 11)",False,NCM,DC,6
355,HpiGre0651M,"(16, 22)",True,NCM,DC,6
356,RedHpi0710F,"(4, 10)",False,NCM,DC,6
357,RedHpi0710F,"(3, 9)",True,NCM,DC,6
358,WhiBlu5805F,"(5, 11)",False,NCM,DC,6
359,WhiBlu5805F,"(2, 8)",True,NCM,DC,6
360,GreBlu5039F,"(15, 21)",False,NCM,DC,7
361,GreBlu5039F,"(4, 10)",True,NCM,DC,7
362,GreBla3404M,"(12, 18)",False,NCM,DC,7
363,GreBla3404M,"(8, 14)",True,NCM,DC,7
364,GraWhi4040F,"(8, 14)",False,NCM,DC,7
365,GraWhi4040F,"(13, 19)",True,NCM,DC,7
366,BlaGre1349M,"(14, 20)",False,NCM,DC,7
367,BlaGre1349M,"(3, 9)",True,NCM,DC,7
368,XXXHpi0038M,"(51, 57)",False,NCM,DC,7
369,XXXHpi0038M,"(14, 19)",True,NCM,DC,7
370,XXXOra0037F,"(14, 20)",False,NCM,DC,7
371,XXXOra0037F,"(9, 15)",True,NCM,DC,7
372,XXXBlu0031M,"(2, 8)",False,NCM,DC,7
373,XXXBlu0031M,"(3, 9)",True,NCM,DC,7
374,HpiGre0651M,"(8, 14)",False,NCM,DC,7
375,HpiGre0651M,"(3, 9)",True,NCM,DC,7
376,RedHpi0710F,"(3, 9)",False,NCM,DC,7
377,RedHpi0710F,"(0, 6)",True,NCM,DC,7
378,WhiBlu5805F,"(8, 14)",False,NCM,DC,7
379,WhiBlu5805F,"(2, 8)",True,NCM,DC,7
380,GreBlu5039F,"(12, 18)",False,NCM,DC,8
381,GreBlu5039F,"(0, 6)",True,NCM,DC,8
382,GreBla3404M,"(2, 8)",False,NCM,DC,8
383,GreBla3404M,"(11, 17)",True,NCM,DC,8
384,GraWhi4040F,"(7, 13)",False,NCM,DC,8
385,GraWhi4040F,"(6, 12)",True,NCM,DC,8
386,BlaGre1349M,"(12, 18)",False,NCM,DC,8
387,BlaGre1349M,"(1, 7)",True,NCM,DC,8
388,XXXHpi0038M,"(271, 277)",False,NCM,DC,8
389,XXXHpi0038M,"(1, 5)",True,NCM,DC,8
390,XXXOra0037F,"(23, 29)",False,NCM,DC,8
391,XXXOra0037F,"(3, 9)",True,NCM,DC,8
392,XXXBlu0031M,"(3, 9)",False,NCM,DC,8
393,XXXBlu0031M,"(4, 10)",True,NCM,DC,8
394,HpiGre0651M,"(4, 10)",False,NCM,DC,8
395,HpiGre0651M,"(5, 11)",True,NCM,DC,8
396,RedHpi0710F,"(5, 11)",False,NCM,DC,8
397,RedHpi0710F,"(0, 6)",True,NCM,DC,8
398,WhiBlu5805F,"(4, 10)",False,NCM,DC,8
399,WhiBlu5805F,"(9, 15)",True,NCM,DC,8
400,GreBlu5039F,"(7, 13)",False,NCM,DC,9
401,GreBlu5039F,"(1, 7)",True,NCM,DC,9
402,GreBla3404M,"(5, 11)",False,NCM,DC,9
403,GreBla3404M,"(5, 11)",True,NCM,DC,9
404,GraWhi4040F,"(9, 15)",False,NCM,DC,9
405,GraWhi4040F,"(18, 24)",True,NCM,DC,9
406,BlaGre1349M,"(10, 16)",False,NCM,DC,9
407,BlaGre1349M,"(1, 7)",True,NCM,DC,9
408,XXXHpi0038M,"(9, 14)",False,NCM,DC,9
409,XXXHpi0038M,"(7, 11)",True,NCM,DC,9
410,XXXOra0037F,"(10, 16)",False,NCM,DC,9
411,XXXOra0037F,"(6, 12)",True,NCM,DC,9
412,XXXBlu0031M,"(0, 6)",False,NCM,DC,9
413,XXXBlu0031M,"(1, 7)",True,NCM,DC,9
414,HpiGre0651M,"(8, 14)",False,NCM,DC,9
415,HpiGre0651M,"(4, 10)",True,NCM,DC,9
416,RedHpi0710F,"(1, 7)",False,NCM,DC,9
417,RedHpi0710F,"(0, 6)",True,NCM,DC,9
418,WhiBlu5805F,"(8, 14)",False,NCM,DC,9
419,WhiBlu5805F,"(1, 7)",True,NCM,DC,9
420,GreBlu5039F,"(4, 10)",False,NCM,DC,10
421,GreBlu5039F,"(2, 8)",True,NCM,DC,10
422,GreBla3404M,"(37, 43)",False,NCM,DC,10
423,GreBla3404M,"(3, 9)",True,NCM,DC,10
424,GraWhi4040F,"(10, 16)",False,NCM,DC,10
425,GraWhi4040F,"(6, 12)",True,NCM,DC,10
426,BlaGre1349M,"(10, 16)",False,NCM,DC,10
427,BlaGre1349M,"(4, 10)",True,NCM,DC,10
428,XXXHpi0038M,"(55, 60)",False,NCM,DC,10
429,XXXHpi0038M,"(7, 11)",True,NCM,DC,10
430,XXXOra0037F,"(10, 16)",False,NCM,DC,10
431,XXXOra0037F,"(0, 6)",True,NCM,DC,10
432,XXXBlu0031M,"(4, 10)",False,NCM,DC,10
433,XXXBlu0031M,"(1, 7)",True,NCM,DC,10
434,HpiGre0651M,"(9, 15)",False,NCM,DC,10
435,HpiGre0651M,"(3, 9)",True,NCM,DC,10
436,RedHpi0710F,"(7, 13)",False,NCM,DC,10
437,RedHpi0710F,"(1, 7)",True,NCM,DC,10
438,WhiBlu5805F,"(4, 10)",False,NCM,DC,10
439,WhiBlu5805F,"(5, 11)",True,NCM,DC,10
440,BluWhi0398F,"(3, 11)",False,HVC,SO,0
441,BluWhi0398F,"(5, 13)",True,HVC,SO,0
442,BluWhi3230M,"(3, 11)",False,HVC,SO,0
443,BluWhi3230M,"(2, 10)",True,HVC,SO,0
444,GraYel7337F,"(1, 9)",False,HVC,SO,0
445,GraYel7337F,"(1, 9)",True,HVC,SO,0
