,Subject,Counts,Rewarded,Treatment,k
146,BlaGre1349M,"(15, 29)",False,NCM,7
147,BlaGre1349M,"(9, 23)",True,NCM,7
148,XXXHpi0038M,"(65, 79)",False,NCM,7
149,XXXHpi0038M,"(16, 29)",True,NCM,7
150,XXXOra0037F,"(19, 33)",False,NCM,7
151,XXXOra0037F,"(16, 30)",True,NCM,7
152,XXXBlu0031M,"(4, 18)",False,NCM,7
153,XXXBlu0031M,"(4, 18)",True,NCM,7
154,HpiGre0651M,"(11, 25)",False,NCM,7
155,HpiGre0651M,"(3, 17)",True,NCM,7
156,RedHpi0710F,"(7, 21)",False,NCM,7
157,RedHpi0710F,"(0, 14)",True,NCM,7
158,WhiBlu5805F,"(11, 25)",False,NCM,7
159,WhiBlu5805F,"(2, 16)",True,NCM,7
160,GreBlu5039F,"(16, 30)",False,NCM,8
161,GreBlu5039F,"(0, 14)",True,NCM,8
162,GreBla3404M,"(11, 25)",False,NCM,8
163,GreBla3404M,"(15, 29)",True,NCM,8
164,GraWhi4040F,"(15, 29)",False,NCM,8
165,GraWhi4040F,"(9, 23)",True,NCM,8
166,BlaGre1349M,"(21, 35)",False,NCM,8
167,BlaGre1349M,"(1, 15)",True,NCM,8
168,XXXHpi0038M,"(289, 303)",False,NCM,8
169,XXXHpi0038M,"(4, 16)",True,NCM,8
170,XXXOra0037F,"(23, 37)",False,NCM,8
171,XXXOra0037F,"(6, 20)",True,NCM,8
172,XXXBlu0031M,"(7, 21)",False,NCM,8
173,XXXBlu0031M,"(4, 18)",True,NCM,8
174,HpiGre0651M,"(7, 21)",False,NCM,8
175,HpiGre0651M,"(5, 19)",True,NCM,8
176,RedHpi0710F,"(11, 25)",False,NCM,8
177,RedHpi0710F,"(0, 14)",True,NCM,8
178,WhiBlu5805F,"(9, 23)",False,NCM,8
179,WhiBlu5805F,"(11, 25)",True,NCM,8
180,GreBlu5039F,"(14, 28)",False,NCM,9
181,GreBlu5039F,"(1, 15)",True,NCM,9
182,GreBla3404M,"(21, 35)",False,NCM,9
183,GreBla3404M,"(12, 26)",True,NCM,9
184,GraWhi4040F,"(24, 38)",False,NCM,9
185,GraWhi4040F,"(19, 33)",True,NCM,9
186,BlaGre1349M,"(13, 27)",False,NCM,9
187,BlaGre1349M,"(1, 15)",True,NCM,9
188,XXXHpi0038M,"(33, 46)",False,NCM,9
189,XXXHpi0038M,"(12, 24)",True,NCM,9
190,XXXOra0037F,"(19, 33)",False,NCM,9
191,XXXOra0037F,"(7, 21)",True,NCM,9
192,XXXBlu0031M,"(2, 16)",False,NCM,9
193,XXXBlu0031M,"(2, 16)",True,NCM,9
194,HpiGre0651M,"(9, 23)",False,NCM,9
195,HpiGre0651M,"(4, 18)",True,NCM,9
196,RedHpi0710F,"(5, 19)",False,NCM,9
197,RedHpi0710F,"(1, 15)",True,NCM,9
198,WhiBlu5805F,"(11, 25)",False,NCM,9
199,WhiBlu5805F,"(1, 15)",True,NCM,9
200,GreBlu5039F,"(11, 25)",False,NCM,10
201,GreBlu5039F,"(4, 18)",True,NCM,10
202,GreBla3404M,"(47, 61)",False,NCM,10
203,GreBla3404M,"(6, 20)",True,NCM,10
204,GraWhi4040F,"(19, 33)",False,NCM,10
205,GraWhi4040F,"(11, 25)",True,NCM,10
206,BlaGre1349M,"(15, 29)",False,NCM,10
207,BlaGre1349M,"(6, 20)",True,NCM,10
208,XXXHpi0038M,"(74, 87)",False,NCM,10
209,XXXHpi0038M,"(15, 27)",True,NCM,10
210,XXXOra0037F,"(17, 31)",False,NCM,10
211,XXXOra0037F,"(5, 19)",True,NCM,10
212,XXXBlu0031M,"(6, 20)",False,NCM,10
213,XXXBlu0031M,"(1, 15)",True,NCM,10
214,HpiGre0651M,"(11, 25)",False,NCM,10
215,HpiGre0651M,"(3, 17)",True,NCM,10
216,RedHpi0710F,"(8, 22)",False,NCM,10
217,RedHpi0710F,"(2, 16)",True,NCM,10
218,WhiBlu5805F,"(6, 20)",False,NCM,10
219,WhiBlu5805F,"(7, 21)",True,NCM,10
220,BluWhi0398F,"(12, 26)",False,HVC,0
221,BluWhi0398F,"(30, 44)",True,HVC,0
222,BluWhi3230M,"(8, 22)",False,HVC,0
223,BluWhi3230M,"(17, 31)",True,HVC,0
224,GraYel7337F,"(2, 16)",False,HVC,0
225,GraYel7337F,"(15, 29)",True,HVC,0
226,GreWhi2703M,"(57, 71)",False,HVC,0
227,GreWhi2703M,"(16, 30)",True,HVC,0
228,HpiGre8613M,"(2, 16)",False,HVC,0
229,HpiGre8613M,"(14, 28)",True,HVC,0
230,BluGre4315M,"(3, 17)",False,HVC,0
231,BluGre4315M,"(7, 21)",True,HVC,0
232,BluRed8773M,"(6, 20)",False,HVC,0
233,BluRed8773M,"(9, 23)",True,HVC,0
234,BluWhi0398F,"(59, 73)",False,HVC,1
235,BluWhi0398F,"(19, 33)",True,HVC,1
236,BluWhi3230M,"(15, 29)",False,HVC,1
237,BluWhi3230M,"(8, 22)",True,HVC,1
238,GraYel7337F,"(16, 30)",False,HVC,1
239,GraYel7337F,"(19, 33)",True,HVC,1
240,GreWhi2703M,"(46, 60)",False,HVC,1
241,GreWhi2703M,"(23, 37)",True,HVC,1
242,HpiGre8613M,"(11, 25)",False,HVC,1
243,HpiGre8613M,"(6, 20)",True,HVC,1
